Team,G,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,DR,OR,TR,AS,ST,TO,BS,PF,EF,+/-
JobStairs GIESSEN 46ers,34,200:00,85.7,21.7,37.9,57.2%,10.1,27.8,36.2%,31.8,65.7,48.3%,12.1,14.8,81.5%,23.0,10.3,33.3,18.7,5.8,14.2,3.0,20.2,92.9,-8.2
s.Oliver Würzburg,34,200:44,77.5,20.2,38.0,53.1%,7.6,22.0,34.3%,27.7,60.0,46.2%,14.5,19.1,76.0%,22.5,9.8,32.3,18.0,6.7,15.5,2.0,20.6,81.7,-10.3
SYNTAINICS MBC,34,200:00,82.7,19.5,36.6,53.3%,9.4,27.7,33.9%,28.9,64.2,44.9%,15.7,20.0,78.2%,23.8,11.2,35.0,17.4,6.9,15.1,3.1,22.3,87.5,-7.2
NINERS Chemnitz,34,202:12,79.2,18.1,33.4,54.1%,9.9,26.2,37.9%,28.0,59.6,47.0%,13.2,17.5,75.5%,23.2,10.1,33.2,18.1,6.6,17.1,2.4,21.7,83.5,-8.5
Telekom Baskets Bonn,34,201:28,82.3,20.4,37.6,54.3%,8.7,24.9,34.8%,29.1,62.5,46.5%,15.5,20.3,76.6%,24.9,10.0,34.9,15.1,7.0,14.5,2.3,20.7,86.3,-2.5
BG Göttingen,34,202:12,84.5,19.6,36.9,53.0%,9.9,25.6,38.8%,29.5,62.6,47.2%,15.6,20.6,75.7%,24.1,9.9,34.0,19.0,6.4,14.0,2.7,21.9,90.8,-5.6
FRAPORT SKYLINERS,34,200:44,76.9,17.2,34.0,50.5%,9.2,25.0,36.9%,26.4,59.0,44.8%,14.8,19.4,76.2%,23.2,9.2,32.3,17.3,6.7,14.5,1.3,19.6,80.1,-5.9
medi bayreuth,34,200:44,84.3,21.4,36.6,58.4%,8.4,22.4,37.3%,29.7,58.9,50.4%,16.6,20.7,80.1%,23.9,8.0,31.9,19.4,6.9,13.8,2.2,19.2,94.8,-0.3
Basketball Löwen Braunschweig,34,202:12,84.0,18.7,34.8,53.9%,9.9,26.1,38.0%,28.7,60.8,47.1%,16.8,23.7,71.0%,23.5,11.1,34.7,19.0,6.4,14.1,2.0,21.7,89.9,-3.0
RASTA Vechta,34,200:44,79.9,18.4,34.6,53.1%,9.3,26.5,35.0%,27.7,61.1,45.3%,15.4,20.1,76.6%,23.0,11.0,34.0,18.8,5.6,14.9,1.8,22.5,84.2,-7.7
Brose Bamberg,34,200:00,84.4,19.7,34.1,57.6%,10.5,28.5,37.0%,30.2,62.6,48.2%,13.6,17.0,79.8%,24.3,10.5,34.9,20.7,5.8,13.7,2.9,19.2,96.5,1.7
Hamburg Towers,34,202:12,85.0,22.0,40.2,54.7%,8.8,24.8,35.6%,30.8,65.0,47.4%,14.6,19.7,74.3%,22.9,10.5,33.5,18.7,8.9,11.3,1.7,21.0,94.7,4.9
HAKRO Merlins Crailsheim,34,200:44,86.6,18.6,33.2,55.8%,10.9,28.4,38.2%,29.4,61.6,47.7%,16.9,22.2,76.4%,24.3,10.3,34.6,19.0,7.6,14.4,2.1,22.4,94.6,4.4
EWE Baskets Oldenburg,34,200:44,92.6,21.0,36.5,57.6%,11.8,28.3,41.7%,32.9,64.9,50.7%,15.1,18.5,81.4%,24.3,9.0,33.3,22.2,7.5,11.0,1.9,20.8,108.6,8.9
ratiopharm ulm,34,200:00,88.4,18.1,32.2,56.3%,10.8,25.1,43.1%,28.9,57.2,50.5%,19.8,23.4,84.4%,23.4,7.9,31.3,18.7,7.4,12.9,2.3,19.7,100.7,10.5
MHP RIESEN Ludwigsburg,34,200:00,89.0,20.1,36.5,55.0%,11.2,30.7,36.6%,31.3,67.2,46.6%,15.2,19.9,76.3%,23.5,12.1,35.6,17.6,8.3,10.7,2.4,19.9,97.4,11.9
FC Bayern München,34,201:28,86.5,22.8,39.5,57.6%,8.2,22.8,35.7%,30.9,62.4,49.6%,16.5,20.7,79.7%,23.7,10.7,34.4,19.0,7.2,12.3,3.3,22.4,99.4,6.4
ALBA BERLIN,34,200:00,86.4,20.6,36.6,56.2%,10.8,28.2,38.2%,31.3,64.8,48.4%,13.0,16.2,80.1%,25.4,10.8,36.1,22.6,7.6,13.2,2.9,17.5,103.7,10.4
